run_timestamp,site_name,origin_month,target_month,model_name,output_type,yhat
2026-05-12T04:05:47,Site K,2026-03,2026-04,XGBoost,forecast_flowrate,141.09689331054688
2026-05-12T04:05:47,Site K,2026-03,2026-04,XGBoost,lower_95,138.7629852294922
2026-05-12T04:05:47,Site K,2026-03,2026-04,XGBoost,upper_95,143.43080139160156
2026-05-12T04:05:47,Site K,2026-03,2026-05,XGBoost,forecast_flowrate,140.15191650390625
2026-05-12T04:05:47,Site K,2026-03,2026-05,XGBoost,lower_95,137.81800842285156
2026-05-12T04:05:47,Site K,2026-03,2026-05,XGBoost,upper_95,142.48582458496094
2026-05-12T04:05:47,Site K,2026-03,2026-06,XGBoost,forecast_flowrate,140.33616638183594
2026-05-12T04:05:47,Site K,2026-03,2026-06,XGBoost,lower_95,138.00225830078125
2026-05-12T04:05:47,Site K,2026-03,2026-06,XGBoost,upper_95,142.67007446289062
2026-05-12T04:05:47,Site K,2026-03,2026-07,XGBoost,forecast_flowrate,136.62429809570312
2026-05-12T04:05:47,Site K,2026-03,2026-07,XGBoost,lower_95,134.29039001464844
2026-05-12T04:05:47,Site K,2026-03,2026-07,XGBoost,upper_95,138.9582061767578
2026-05-12T04:05:47,Site K,2026-03,2026-08,XGBoost,forecast_flowrate,131.35804748535156
2026-05-12T04:05:47,Site K,2026-03,2026-08,XGBoost,lower_95,129.02413940429688
2026-05-12T04:05:47,Site K,2026-03,2026-08,XGBoost,upper_95,133.69195556640625
2026-05-12T04:05:47,Site K,2026-03,2026-09,XGBoost,forecast_flowrate,129.97276306152344
2026-05-12T04:05:47,Site K,2026-03,2026-09,XGBoost,lower_95,127.63884735107422
2026-05-12T04:05:47,Site K,2026-03,2026-09,XGBoost,upper_95,132.30667114257812
2026-05-12T06:05:46,Site B,2026-04,2026-05,ML (Ensemble RF+GBR),forecast_flowrate,14.75571276698923
2026-05-12T06:05:46,Site B,2026-04,2026-05,ML (Ensemble RF+GBR),lower_95,11.473939395700793
2026-05-12T06:05:46,Site B,2026-04,2026-05,ML (Ensemble RF+GBR),upper_95,18.03748613827767
2026-05-12T06:05:46,Site B,2026-04,2026-06,ML (Ensemble RF+GBR),forecast_flowrate,15.073649334849067
2026-05-12T06:05:46,Site B,2026-04,2026-06,ML (Ensemble RF+GBR),lower_95,11.79187596356063
2026-05-12T06:05:46,Site B,2026-04,2026-06,ML (Ensemble RF+GBR),upper_95,18.35542270613751
2026-05-12T06:05:46,Site B,2026-04,2026-07,ML (Ensemble RF+GBR),forecast_flowrate,15.68872572542172
2026-05-12T06:05:46,Site B,2026-04,2026-07,ML (Ensemble RF+GBR),lower_95,12.40695235413328
2026-05-12T06:05:46,Site B,2026-04,2026-07,ML (Ensemble RF+GBR),upper_95,18.97049909671016
2026-05-12T06:05:46,Site B,2026-04,2026-08,ML (Ensemble RF+GBR),forecast_flowrate,14.642361849202263
2026-05-12T06:05:46,Site B,2026-04,2026-08,ML (Ensemble RF+GBR),lower_95,11.360588477913824
2026-05-12T06:05:46,Site B,2026-04,2026-08,ML (Ensemble RF+GBR),upper_95,17.924135220490705
2026-05-12T06:05:46,Site B,2026-04,2026-09,ML (Ensemble RF+GBR),forecast_flowrate,15.211734908475728
2026-05-12T06:05:46,Site B,2026-04,2026-09,ML (Ensemble RF+GBR),lower_95,11.929961537187287
2026-05-12T06:05:46,Site B,2026-04,2026-09,ML (Ensemble RF+GBR),upper_95,18.493508279764168
2026-05-12T06:05:46,Site B,2026-04,2026-10,ML (Ensemble RF+GBR),forecast_flowrate,15.218386002401424
2026-05-12T06:05:46,Site B,2026-04,2026-10,ML (Ensemble RF+GBR),lower_95,11.936612631112984
2026-05-12T06:05:46,Site B,2026-04,2026-10,ML (Ensemble RF+GBR),upper_95,18.500159373689865
2026-05-12T06:11:15,Site T,2026-04,2026-05,ML (Ensemble RF+GBR),forecast_flowrate,11.900963333499975
2026-05-12T06:11:15,Site T,2026-04,2026-05,ML (Ensemble RF+GBR),lower_95,8.533324522878255
2026-05-12T06:11:15,Site T,2026-04,2026-05,ML (Ensemble RF+GBR),upper_95,15.2686021441217
